Date,Headline
2018-08-23,Google Deletes 39 YouTube Channels Linked to Iranian Influence Operation
2018-08-24,Alphabet’s Plans for a China Comeback Go Beyond Google Search
2018-08-28,Trump Accuses Google of Burying Conservative News in Search Results
2018-08-29,"Primary Elections, Nafta, Google: Your Wednesday Briefing"
2018-08-30,Trump Whines That Google Isn’t a Safe Space
2018-08-31,Here’s the Conversation We Really Need to Have About Bias at Google
2018-09-05,"Trump Says Google Is Rigged, Despite Its Denials. What Do We Know About How It Works?"
2018-09-10,Don’t Force Google to Export Other Countries’ Laws
2018-09-11,"Don’t Blame Google, Mr. Trump"
2018-09-12,"Google Knows Where You’ve Been, but Does It Know Who You Are?"
2018-09-13,Leaked Google Video After Trump’s Win Adds to Pressure From Conservatives
2018-09-13,The Real Google Censorship Scandal 
2018-09-19,The Most Fun (and Useful) Things You Can Do With an Amazon Echo or Google Home
2018-09-20,New Pressure on Google and YouTube Over Children’s Data
2018-09-22,Google C.E.O. Denies Allegations of Political Bias in Search Results
2018-09-26,Ex-Google Employee Urges Lawmakers to Take On Company
2018-09-26,Google Tweaks Chrome in Response to Privacy Criticism
2018-09-27,It’s Google’s Turn in Washington’s Glare
2018-09-28,Google Chief Agrees to Testify to Congress
2018-10-08,Google Plus Will Be Shut Down After User Information Was Exposed
2018-10-09,"Hurricane Michael, Hope Hicks, Google Plus: Your Tuesday Briefing"
2018-10-09,DealBook Briefing: Google’s Turn for a Data Scandal
2018-10-09,How Will Google Play Its New Product Announcements on the Back of a Data Scandal?
2018-10-09,New Pixel Phones and Other Gadgets Keep Google in the Hardware Hunt
2018-10-15,The Google Pixel 3 Review: Phone’s Smarts Shine Through Its A.I.-Driven Camera
2018-10-16,Google to Charge Phone Makers for Android Apps in Europe
2018-10-17,"An Eye for Photography, but a Google Suite for Events"
2018-10-23,Google Turns Over Identities of Bloggers on Benfica
2018-10-23,Google Is Teaching Children How to Act Online. Is It the Best Role Model? 
2018-10-25,"How Google Protected Andy Rubin, the ‘Father of Android’"
2018-10-25,Google Retreats from Berlin Plan Opposed by Local Groups
2018-10-25,"Explosives, Google, Midterms: Your Thursday Evening Briefing"
2018-10-26,Should Tech Giants Like Google Be in the Business of Teaching Children How to Be Good Digital Citizens?
2018-10-26,"Pipe Bombs, Google, Megyn Kelly: Your Friday Briefing"
2018-10-26,DealBook Briefing: Google’s #MeToo Moment
2018-10-26,Google Workers Fume Over Executives’ Payouts After Sexual Harassment Claims
2018-10-31,Supreme Court Weighs Google Settlement That Paid Class Members Nothing
2018-10-31,Google Faces Internal Backlash Over Handling of Sexual Harassment
2018-11-01,"George Soros, Yemen, Google: Your Thursday Briefing"
2018-11-01,DealBook Conference Live Updates: Google C.E.O.’s Mea Culpa
2018-11-01,Google Walkout: Employees Stage Protest Over Handling of Sexual Harassment
2018-11-01,California Today: Google Employees Around the World Walk Out
2018-11-01,Google Employees Stage Worldwide Walkout
2018-11-02,"Immigration, Google, ‘Bohemian Rhapsody’: Your Friday Briefing"
2018-11-02,DealBook Briefing: Google’s Mea Culpa and Future Murdoch Deals
2018-11-02,Senior Google Lobbyist Is Stepping Down From Her Role
2018-11-06,Google Workers Reject Silicon Valley Individualism in Walkout
2018-11-07,Why the Google Walkout Was a Watershed Moment in Tech
2018-11-08,Google Is Said to Be Shopping for More Real Estate in New York
2018-11-08,Sundar Pichai of Google: ‘Technology Doesn’t Solve Humanity’s Problems’
2018-11-08,"After Paying Off Men Accused of Sexual Harassment, Google Says It Will Meet Many of the Protesters’ Demands "
2018-11-08,Google Overhauls Sexual Misconduct Policy After Employee Walkout
2018-11-08,"Google, Thousand Oaks, China: Your Friday Briefing"
2018-11-09,New York Today: We Like Big. Are Google and Amazon Too Big?
2018-11-09,DealBook Briefing: Google Overhauls Its Sexual Misconduct Policy
2018-11-14,How Google Photos Became a Perfect Jukebox for Our Memories
2018-11-16,Google Cloud Executive Who Sought Pentagon Contract Steps Down
2018-11-22,Google to Demand More Disclosure From Buyers of European Election Ads
2018-12-03,"Behind Google’s Salad Bar, a Single Mother Who Found the Right Kitchen"
2018-12-07,Google Hearing to Preview Democrats’ Strategy on Big Tech
2018-12-11,"Sundar Pichai, Google’s C.E.O., Testifies on Capitol Hill"
2018-12-12,Google’s Pichai Faces Privacy and Bias Questions in Congress
2018-12-14,New Zealand Rebukes Google for Airing Name of Suspect in Backpacker’s Killing
2018-12-14,What Amazon Could Learn From Google in New York City
2018-12-17,Dr. Google Is a Liar 
2018-12-17,New Google Campus Accelerates Tech’s March Into New York
2018-12-19,"Google’s Marketing of Children’s Apps Misleads Parents, Consumer Groups Say"
2018-12-23,Google’s Advance on New York
2018-12-31,Firm Led by Google Veterans Uses A.I. to ‘Nudge’ Workers Toward Happiness
2019-01-04,Tracking the Demise of My Marriage on Google Maps
2019-01-11,Board Sued Over Google’s Exit Package for Accused Executive
2019-01-16,"O.K., Google: How Much Money Have I Made for You Today?"
2019-01-18,The Week in Tech: How Google and Facebook Spawned Surveillance Capitalism
2019-01-21,Google Is Fined $57 Million Under Europe’s Data Privacy Law
2019-02-06,"Google and Waze Must Stop Sharing Drunken-Driving Checkpoints, New York Police Demand"
2019-02-13,Apple and Google Urged to Dump Saudi App That Lets Men Track Women
2019-02-21,Google Ends Forced Arbitration for All Employee Disputes
2019-03-04,Google Finds It’s Underpaying Many Men as It Addresses Wage Equity
2019-03-07,Even Google Can No Longer Hide Its Gender Pay Gap
2019-03-11,Google Approved $45 Million Exit Package for Executive Accused of Misconduct
2019-03-19,Google Introduces Streaming Video Game Service
2019-03-20,Google Fined $1.7 Billion by E.U. for Unfair Advertising Rules
2019-03-25,He Tried to Bilk Google and Facebook Out of $100 Million With Fake Invoices
2019-03-26,Inside Google’s Rebooted Robotics Program
2019-04-03,Google Returns
2019-04-05,Therapy and the Google Complex
2019-04-13,"Tracking Phones, Google Is a Dragnet for the Police"
2019-04-13,Google’s Sensorvault Is a Boon for Law Enforcement. This Is How It Works.
2019-04-15,"Google, Trump, Tiger Woods: Your Monday Briefing"
2019-04-22,Google Employees Say They Faced Retaliation After Organizing Walkout
2019-04-23,"Sri Lanka, Google, Philippines: Your Tuesday Briefing"
2019-04-23,I Used to Work for Google. I Am a Conscientious Objector.
2019-04-24,"Wing, Owned by Google’s Parent Company, Gets First Approval for Drone Deliveries in U.S."
2019-04-30,"Eric Schmidt to Leave Alphabet Board, Ending an Era That Defined Google"
2019-05-01,"Who Is Ruth Asawa, the Artist in Today’s Google Doodle?"
2019-05-07,Google Pixel 3A Review: The $400 Smartphone You’ve Been Waiting For
2019-05-07,Google Says It Has Found Religion on Privacy
2019-05-08,Google’s Sundar Pichai: Privacy Should Not Be a Luxury Good
2019-05-10,The Week in Tech: Facebook and Google Reshape the Narrative on Privacy
2019-05-14,"Attention, Amazon Shoppers: Google Wants Some of Your Spending Money"
2019-05-17,You’re Not Alone When You’re on Google
2019-05-20,"U.S. Tech Suppliers, Including Google, Restrict Dealings With Huawei After Trump Order"
2019-05-20,Tech Stocks Sink After Google Cuts Huawei Off Android Support
2019-05-20,"As Huawei Loses Google, the U.S.-China Tech Cold War Gets Its Iron Curtain"
2019-05-21,Google Changes Abortion Ad Policy
2019-05-22,Google’s Duplex Uses A.I. to Mimic Humans (Sometimes)
2019-05-28,Google’s Shadow Work Force: Temps Who Outnumber Full-Time Employees
2019-05-29,On Migrant Journeys With WhatsApp and Google Translate
2019-05-30,Google Should Google the Definition of ‘Employee’
2019-06-01,Justice Dept. Explores Google Antitrust Case
2019-06-02,Google and Amazon Are at the Center of a Storm Brewing Over Big Tech
2019-06-02,"Google Disruptions Affect Gmail, YouTube and Other Sites"
2019-06-04,Why Does Google Know Everything You’ve Bought on Amazon for the Past Six Years?
2019-06-06,Google to Buy Data Analytics Company Despite New Antitrust Scrutiny
2019-06-09,"Google Made $4.7 Billion From the News Industry in 2018, Study Says"
2019-06-12,"‘Oversharing’ on Google Calendar, and Making Sure Readers Come Back for More"
2019-06-18,Google Pledges to Invest $1 Billion to Ease Bay Area Housing Crisis
2019-06-26,Google and the University of Chicago Are Sued Over Data Sharing
2019-07-07,I Used Google Ads for Social Engineering. It Worked.
2019-07-10,"Google’s 4,000-Word Privacy Policy Is a Secret History of the Internet"
2019-07-12,"Rene Favaloro, a Pioneering Surgeon, Is Honored in Today’s Google Doodle"
2019-07-15,A Feisty Google Adversary Tests How Much People Care About Privacy
2019-07-16,"Tech Hearings: Congress Unites to Take Aim at Amazon, Apple, Facebook and Google"
2019-07-17,Google Glass May Have an Afterlife as a Device to Teach Autistic Children
2019-07-17,Facebook and Google Trackers Are Showing Up on Porn Sites
2019-07-25,"Tulsi Gabbard, Democratic Presidential Candidate, Sues Google for $50 Million"
2019-08-02,"Good for Google, Bad for America"
2019-08-02,DealBook Briefing: Peter Thiel Accuses Google of Arming China (Again)
2019-08-05,Senators Urge Google to Give Temporary Workers Full-Time Status
2019-08-19,Fact-Checking Trump’s Claim That Google ‘Manipulated’ Millions of Votes for Clinton
2019-08-21,6 Google Tricks That Will Turn You Into an Internet Detective
2019-08-22,"In the Trump Era, a Family’s Fight With Google and Facebook Over Disinformation"
2019-08-22,How a Conservative News Site Thrived on Facebook and Google
2019-08-23,Google Tries to Corral Its Staff After Ugly Internal Debates
2019-08-27,Former Star Google and Uber Engineer Charged With Theft of Trade Secrets
2019-09-04,Google Is Fined $170 Million for Violating Children’s Privacy on YouTube
2019-09-05,"The Work Diary of Parisa Tabriz, Google’s ‘Security Princess’"
2019-09-06,New Google and Facebook Inquiries Show Big Tech Scrutiny Is Rare Bipartisan Act
2019-09-06,"16 Ways Facebook, Google, Apple and Amazon Are in Government Cross Hairs"
2019-09-09,"Taliban, Google, N.F.L.: Your Monday Briefing"
2019-09-09,Google Antitrust Investigation Outlined by State Attorneys General
2019-09-10,Lesson of the Day: ‘6 Google Tricks That Will Turn You Into an Internet Detective’
2019-09-12,Google Says a Change in Its Algorithm Will Highlight ‘Original Reporting’
2019-09-12,Google Settles With U.S. Over Workers’ Complaints It Stifled Dissent
2019-10-02,How to Set Your Google Data to Self-Destruct
2019-10-04,Atlanta Asks Google Whether It Targeted Black Homeless People
2019-10-10,The Radical Guidebook Embraced by Google Workers and Uber Drivers
2019-10-21,Pixel 4 Review: Google Needs to Do More to Stand Out
2019-10-23,Google Claims a Quantum Breakthrough That Could Change Computing
2019-10-23,"Google, Mark Zuckerberg, World Series: Your Wednesday Briefing"
2019-10-23,"Turkey, Google, Brexit: Your Thursday Briefing"
2019-10-23,"Syria, Google, California: Your Wednesday Evening Briefing"
2019-10-24,"Turkey, Google, Brexit: Your Thursday Briefing"
2019-10-25,"This Week’s News Quiz: Google, Chile, Blue Origin"
2019-10-25,The Week in Tech: Google’s Quantum Leap
2019-10-28,"Google, in Rare Stumble, Posts 23% Decline in Profit"
2019-10-29,"Google Misled Consumers Over Location Tracking, Australia Says"
2019-10-29,"Weekly News Quiz for Students: Raid in Syria, California Fires, Google"
2019-10-30,Why Google’s Quantum Supremacy Milestone Matters
2019-10-31,Google Wants Safeguards for Information in Antitrust Fight
2019-11-01,Google to Buy Fitbit for $2.1 Billion
2019-11-04,"With a Laser, Researchers Say They Can Hack Alexa, Google Home or Siri"
2019-11-11,Artificial Intelligence Is Too Important to Leave to Google and Facebook Alone
2019-11-12,Google to Store and Analyze Millions of Health Records
2019-11-13,"Google Makes a Bid for Banking, Where Tech Firms Go to Stumble"
2019-11-15,Supreme Court to Hear Google and Oracle Copyright Case
2019-11-17,The Week in Business: Google Is Coming for Your Health Records
2019-11-18,Google Stadia Wants You to Replace Your Video Game Console. Don’t.
2019-11-20,Google Hires Firm Known for Anti-Union Efforts
2019-11-20,"Gordon Sondland, Debate, Google: Your Wednesday Evening Briefing"
2019-11-20,Google Policy Change Upends Online Plans for 2020 Campaigns
2019-11-22,Campaigns Say Google Ad Policy Sidesteps Problem of Disinformation
2019-11-22,Google Changed Its Political Ad Policy. Will Facebook Be Next?
2019-11-26,Google Fires 4 Workers Active in Labor Organizing
2019-12-03,Era Ends for Google as Founders Step Aside From a Pillar of Tech
2019-12-04,"Impeachment, Emmanuel Macron, Google: Your Wednesday Briefing"
2019-12-04,"DealBook: Google’s Founders to Step Aside, Ending an Era"
2019-12-04,Where Will Sundar Pichai Take Google?
2019-12-05,How Google’s Founders Slowly Stepped Away From Their Company
2019-12-16,Googled ‘Impeachment’ Lately? First Result Is a Bloomberg Ad
2019-12-27,My Decade in Google Searches
2019-12-30,White Extremism Faces a Subversive Foe Online: Google Ads
2020-01-07,"Sonos, Squeezed by the Tech Giants, Sues Google"
2020-01-16,"Google Reaches $1 Trillion in Value, Even as It Faces New Tests"
2020-01-24,Have a Search Warrant for Data? Google Wants You to Pay
2020-01-31,Why Google Backtracked on Its New Search Results Look
2020-02-02,"2020 Super Bowl Commercials: Funeral for Mr. Peanut, Tears for Google"
2020-02-04,Top Antitrust Official Is Said to Recuse Himself From Google Inquiry
2020-02-06,Should Google Shrink to Save Itself?
2020-02-19,The Great Google Revolt
2020-02-20,New Mexico Sues Google Over Children’s Privacy Violations
2020-02-22,Google Reaches Document Protection Deal in Antitrust Fight
2020-02-27,Eric Schmidt: I Used to Run Google. Silicon Valley Could Lose to China.
2020-02-27,"Facebook, Google and Twitter Rebel Against Pakistan’s Censorship Rules"
2020-03-05,Tulsi Gabbard’s $50 Million Suit Against Google Is Dismissed
2020-03-05,Star Engineer Who Crossed Google Is Ordered to Pay $179 Million to Company
2020-03-10,You Can’t Fight City Hall. But Maybe You Can Fight Google.
2020-03-15,Trump Oversold a Google Site to Fight Coronavirus
2020-03-21,Google Gives Cover to Trump’s Lies
2020-03-23,"Logged On From the Laundry Room: How the C.E.O.s of Google, Pfizer and Slack Work From Home"
2020-04-05,Google Searches Can Help Us Find Emerging Covid-19 Outbreaks
2020-04-08,Google Makes Stadia Gaming Service Free
2020-04-10,Apple and Google Team Up to ‘Contact Trace’ the Coronavirus
2020-04-14,Even Google and Facebook May Face an Ad Slump
2020-04-19,Google and Facebook Must Pay for Local Journalism
2020-04-20,Australia Moves to Force Google and Facebook to Compensate Media Outlets
2020-04-23,Google Will Require Proof of Identity From All Advertisers
2020-05-07,Google Sibling Abandons Ambitious City of the Future in Toronto
2020-05-16,U.S. Is Said to Plan to File Antitrust Charges Against Google
2020-05-20,Need Recommendations? We’ve Got Google Docs for That.
2020-05-22,Why All the Shouting About Google?
2020-05-29,Google Rescinds Offers to Thousands of Contract Workers
2020-06-02,Suit Claims Google’s Tracking Violates Federal Wiretap Law
2020-06-04,Google’s European Search Menu Draws Interest of U.S. Antitrust Investigators
2020-06-04,"Chinese Hackers Target Email Accounts of Biden Campaign Staff, Google Says"
2020-06-19,A Former Google Executive Takes Aim at His Old Company With a Start-Up
2020-06-23,Tiny Love Stories: “I Googled ‘Crisis’”
2020-06-24,Google Sets Limit on How Long It Will Store Some Data
2020-06-25,Barr’s Interest in Google Antitrust Case Keeps It Moving Swiftly
2020-07-07,"A Bird? A Plane? No, It’s a Google Balloon Beaming the Internet"
2020-07-13,How May Google Fight an Antitrust Case? Look at This Little-Noticed Paper
2020-07-20,Google Promises Privacy With Virus App but Can Still Collect Location Data
2020-07-21,"E.U. Deal, U.K. Extradition Treaty, Google: Your Tuesday Briefing"
2020-07-21,Google’s virus-tracing apps can allow it to track some users’ locations.
2020-07-23,Google Takes Aim at Amazon. Again.
2020-07-28,"Amazon, Apple, Facebook and Google Prepare for Their ‘Big Tobacco Moment’"
2020-08-03,"Google Pixel 4A Review: At $350, a Win for Those on a Budget"
2020-08-04,Google faces an E.U. investigation into its Fitbit acquisition.
2020-08-04,Google Faces European Inquiry Into Fitbit Acquisition
2020-08-05,Star Technologist Who Crossed Google Sentenced to 18 Months in Prison
2020-08-12,"Google, Facebook and Others Broaden Group to Secure U.S. Election"
2020-08-13,Fortnite Creator Sues Apple and Google After Ban From App Stores
2020-08-25,"To Fight Apple and Google’s Grip, Fortnite Creator Mounts a Crusade"
2020-09-01,Apple and Google to Make It Easier to Opt In to Virus Tracing
2020-09-02,Apple and Google are making it easier to opt in to virus tracing.
2020-09-03,Justice Dept. Plans to File Antitrust Charges Against Google in Coming Weeks
2020-09-15,The Bumbling 1960s Data Scientists Who Anticipated Facebook and Google
2020-09-21,This Deal Helped Turn Google Into an Ad Powerhouse. Is That a Problem?
