Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25
2020-05-15,1,"thinking about buying stock in tetraphase pharmaceuticals, remark holdings, cronos group, ford, or norwegian cruise line?","aperio group llc sells 352,939 shares of ford motor (nyse:f)",weekly analysts&quot; ratings updates for ford motor (f),"bessemer group inc. has $50,000 holdings in ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,
2020-05-18,1,kc&quot;s ford and gm plants restart production,how ford plans to test workers for covid-19 as it resumes production,ford resumes u.s. production and operations,why ford motor stock is rising today,vestmark advisory solutions inc. makes new investment in ford motor (nyse:f),"vestmark advisory solutions inc. invests $95,000 in ford motor (nyse:f)","wetherby asset management inc. purchases 22,313 shares of ford motor (nyse:f)",ford contracts with area hospital to test claycomo employees for covid-19,,,,,,,,,,,,,,,,,
2020-05-19,0,"trump told to wear coronavirus mask for ford ventilator factory visit, but it&quot;s not clear he will","thinking about trading stocks or options in advanced micro devices, baidu, target, canopy growth corp, or ford?",ford resumes car and truck production while implementing numerous safety protocols,,,,,,,,,,,,,,,,,,,,,,
2020-05-20,1,need recommendations? we’ve got google docs for that.,designing the ultimate racing car from home - ford livestream event showcases the virtual design studio,the wall street journal: ford factory in chicago halts production for second straight day,"trump has &quot;legal responsibility&quot; to wear coronavirus mask for ford factory visit, michigan ag says",ford temporarily closes chicago plant after two positive coronavirus cases,ford mustang mach-e charging report: fast but not that fast,former ford ceo mark fields optimistic on car demand,,,,,,,,,,,,,,,,,,
2020-05-21,0,"trump visits ford plant in michigan, skips the face mask","thinking about buying stock in boeing, general electric, cinedigm corp, ford, or tjx companies?",ford briefly halts output at 2 factories after workers test positive,ford motor (nyse:f) earns news sentiment score of -1.30,,,,,,,,,,,,,,,,,,,,,
2020-05-22,1,why all the shouting about google?,$12.83 billion in sales expected for ford motor (nyse:f) this quarter,,,,,,,,,,,,,,,,,,,,,,,
2020-05-26,0,"why ford, general motors, and honda stocks are up today","automotive minute: new 2020 ford st-line bridges gap between edge, edge st","cigna investments inc. new buys 6,500 shares of ford motor (nyse:f)",northwestern mutual wealth management co. boosts stake in ford motor (nyse:f),"national asset management inc. has $401,000 stock holdings in ford motor (nyse:f)",shell asset management co. cuts position in ford motor (nyse:f),"northwestern mutual investment management company llc buys 52,008 shares of ford motor (nyse:f)",new edge st-line comes standard with great value and eye-catching style inspired by ford performance,,,,,,,,,,,,,,,,,
2020-05-27,1,"empirical financial services llc d.b.a. empirical wealth management purchases 2,097 shares of ford motor (nyse:f)","thinking about buying stock in biocept, celsion corp, tilray, altimmune, or ford?",packing heat: how ford&quot;s latest tech helps police vehicles neutralize covid-19,ford develops heat software to sanitize police vehicles,ford develops software to bake away coronavirus in police vehicles,ford motor reaches analyst target price,,,,,,,,,,,,,,,,,,,
2020-05-28,1,landmark in volkswagen-ford global alliance,"here&#39;s how amazon could become a threat to tesla, ford and more with zoox buy","here&quot;s how amazon could become a threat to tesla, ford and more with zoox buy","commerce bank has $395,000 position in ford motor (nyse:f)",ford motor (nyse:f) shares sold by etrade capital management llc,aigen investment management lp reduces stock position in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,
2020-05-29,1,google rescinds offers to thousands of contract workers,"volkswagen pumps $2.2 billion into china ev operations, expands cooperation with ford",ford motor company issues two safety recalls in north america,"thinking about buying stock in ford, jaguar health, toughbuilt industries, canopy growth corp, or northern dynasty minerals?",mutual of america capital management llc has $2.57 million stake in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,
2020-06-01,1,dorsey & whitney trust co llc cuts holdings in ford motor (nyse:f),,,,,,,,,,,,,,,,,,,,,,,,
2020-06-02,1,suit claims google’s tracking violates federal wiretap law,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-03,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-04,0,google’s european search menu draws interest of u.s. antitrust investigators,"chinese hackers target email accounts of biden campaign staff, google says",,,,,,,,,,,,,,,,,,,,,,,
2020-06-05,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-09,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-10,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-11,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-12,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-06-15,1,"auto stock roundup: ford-volkswagen ev deal, toyota fuel cell jv in china &amp; more",ford motor (nyse:f) short interest down 10.2% in may,m&t bank corp reduces stake in ford motor (nyse:f),ford motor is a long-term sell,,,,,,,,,,,,,,,,,,,,,
2020-06-16,0,ford to provide &quot;look&quot; at all-new f-150 during citi conference call,"nikola founder: we&quot;re going after top-selling ford-150 with our $60,000 electric badger pickup","thinking about buying stock in walt disney, ford, tesla, aurora cannabis, or microsoft?",is ford stock hitting the gas as lockdowns ease?,"franklin resources inc. sells 6,631,537 shares of ford motor (nyse:f)",ford&quot;s post-covid mobility vision riding on commercial vehicles,,,,,,,,,,,,,,,,,,,
2020-06-17,0,"tesla, ford rival nikola seen as &quot;unique&quot; for more than just electric trucks",baird financial group inc. lowers stock position in ford motor (nyse:f),nikola wants to snatch the ford-150 crown with its electric badger pickup truck,how ford protects your car&quot;s interior while you protect yourself,head to head survey: ford motor (nyse:f) versus the shyft group (nyse:shyf),,,,,,,,,,,,,,,,,,,,
2020-06-18,0,ford takes on tesla with hands-free driving for electric mustang,this is how many pickup trucks nikola has to sell to top ford&quot;s f-150,ford launching its own driver-assist system to compete with tesla autopilot (sort of),"thinking about buying stock in orion group holdings, enphase energy, novan inc, ford, or actinium pharmaceuticals?","stocks making the biggest moves in the premarket: kroger, carnival, ford, amc, spotify & more",ford launching new driver system to compete with tesla&quot;s autopilot and gm&quot;s super cruise,jefferies financial group analysts give ford motor (nyse:f) a $7.50 price target,ford gives america&quot;s favourite truck a makeover,,,,,,,,,,,,,,,,,
2020-06-19,0,a former google executive takes aim at his old company with a start-up,ford decides not to unveil the new bronco suvs on o.j. simpson&quot;s birthday,no more second-guessing: all-new ford mustang mach-e addresses range anxiety with upgradeable intelligent range,jefferies financial group comments on ford motor&quot;s q2 2020 earnings (nyse:f),,,,,,,,,,,,,,,,,,,,,
2020-06-22,1,"new ford survey shows american pickup owners really, really love their trucks",ford aims to make hands-free driver assist more intuitive than rivals,"thinking about buying stock in microvision, invitae corp, alpine immune sciences, anavex life sciences, or ford motor?",fy2020 eps estimates for ford motor (nyse:f) increased by jefferies financial group,ford motor (nyse:f) earns media sentiment score of 1.46,,,,,,,,,,,,,,,,,,,,
2020-06-23,1,tiny love stories: “i googled ‘crisis’”,ford motor (nyse:f) given new $7.00 price target at jpmorgan chase & co.,ford motor (nyse:f) short interest down 10.2% in june,inwed20: variety is a key component at ford,,,,,,,,,,,,,,,,,,,,,
2020-06-24,0,google sets limit on how long it will store some data,"verisign now #228 largest company, surpassing ford motor",future of ford motor rests heavily on new full-size pickup and automaker&quot;s ability to build quickly and flawlessly,"ford expands climate change goals, sets target to become carbon neutral by 2050: annual sustainability report",,,,,,,,,,,,,,,,,,,,,
2020-06-25,1,barr’s interest in google antitrust case keeps it moving swiftly,carbon neutrality by 2050: ford sustainability leaders on ambitious new goal during wolfe research fireside chat,ford motor company issues a safety compliance recall and a safety recall in north america,"thinking about trading options or stock in invitae corp, penn national gaming, ford motor company, bank of america, or advanced micro devices?",ford and vodafone partner on 5g project,,,,,,,,,,,,,,,,,,,,
2020-06-26,0,ford motor company (f) fireside chat hosted by citi research (transcript),"in all-important pickup truck wars, ford freshens up its venerable f-150","ford unveils its all-new f-150 office, uh, pickup (photos)","ford unveils its all-new f-150 office, uh, pickup [photos]",,,,,,,,,,,,,,,,,,,,,
2020-06-29,1,"ford, wayne state university and access coalition expands mobile covid-19 testing; effort tests more than 10,000 people","thinking about trading options or stock in aptose biosciences, novavax, inovio pharmaceuticals, ford motor, or carnival corp?",ford plans to reach carbon neutrality by 2050,"aqr capital management llc sells 460,441 shares of ford motor (nyse:f)",,,,,,,,,,,,,,,,,,,,,
2020-06-30,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-01,1,"thinking about trading options or stock in fedex corp, inovio pharmaceuticals, ford motor, boeing, or plug power?",,,,,,,,,,,,,,,,,,,,,,,,
2020-07-02,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-06,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-07,0,"a bird? a plane? no, it’s a google balloon beaming the internet",,,,,,,,,,,,,,,,,,,,,,,,
2020-07-08,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-09,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-10,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-13,0,how may google fight an antitrust case? look at this little-noticed paper,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-14,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-15,0,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-16,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-07-17,0,,,,,,,,,,,,,,,,,,,,,,,,,
