Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24,top25,top26,top27,top28,top29,top30,top31,top32,top33,top34,top35
2020-01-02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03,1,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06,1,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-07,0,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,"sonos, squeezed by the tech giants, sues google",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-08,1,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-09,0,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-10,0,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-13,1,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-14,0,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-15,1,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-16,1,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,20.27001999999993,"google reaches $1 trillion in value, even as it faces new tests",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-17,1,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,13.520019999999931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-21,1,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,46.18005399999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-22,0,3.25,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,-5.34997599999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-23,0,-5.859985000000052,3.25,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,10.220092999999906,alphabet (googl) gains but lags market: what you should know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-24,0,-2.8601079999998547,-5.859985000000052,3.25,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,-2.1400149999999485,have a search warrant for data? google wants you to pay,alphabet close to $1500,alphabet stock has risen 10% since latest france fine,alphabet gets new street-high on ad strength,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-27,1,-26.64990200000011,-2.8601079999998547,-5.859985000000052,3.25,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,-0.5100099999999657,activision stock slips as it opts for google over amazon in gaming,"top analyst upgrades and downgrades: alphabet, amazon, apple, biogen, chewy, comcast deere, facebook, intel, solaredge, wynn and more",mizuho lifts alphabet on ad growth,&quot;we blew it&quot;: warren buffett admitted he messed up by not investing in google,"stocks to watch: alphabet, boeing, discover, kraft heinz",the alphabet soup of responsible investing needs a good stir,justice department and state ags to share information in google antitrust probe,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-28,1,0.1899410000000898,-26.64990200000011,-2.8601079999998547,-5.859985000000052,3.25,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,4.780029000000013,has alphabet (googl) outpaced other computer and technology stocks this year?,alphabet gets new street-high target,"accenture and google cloud collaborate to help life sciences companies advance the discovery, development and delivery of innovative therapies",what&quot;s in the offing for alphabet&quot;s (googl) q4 earnings?,netflix and alphabet: what&quot;s new?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-29,0,8.760009999999966,0.1899410000000898,-26.64990200000011,-2.8601079999998547,-5.859985000000052,3.25,16.979980999999952,4.7100829999999405,6.179931000000124,-9.410033999999996,alphabet (googl) gains as market dips: what you should know,google temporarily shutting down all china offices,update 1-google temporarily shutting down all china offices,google temporarily shutting down all china offices: the verge,google temporarily shutting down all china offices - the verge,google shopping product executive leaves for cryptocurrency exchange coinbase,google shopping product exec leaves for cryptocurrency exchange coinbase,better buy: netflix vs. google,why alphabet is a better buy than facebook,,,,,,,,,,,,,,,,,,,,,,,,,,
