Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7,top8
2018-02-15,1,[20.75],[7.09997599999997],[3.93994100000009],[20.530029000000013],[-53.890014000000065],[-32.96008299999994],[53.41992200000004],[-34.799927000000025],[-10.09997599999997],[5.089966000000004],,,,,,,,
2018-02-16,1,[10.450073999999859],[20.75],[7.09997599999997],[3.93994100000009],[20.530029000000013],[-53.890014000000065],[-32.96008299999994],[53.41992200000004],[-34.799927000000025],[-10.09997599999997],"farhad’s week in tech: netflix gets a star, and google’s conflicted ad blocker","google legally fired diversity memo author, labor agency says",,,,,,
2018-02-20,1,[],[6.3900149999999485],[10.450073999999859],[20.75],[7.09997599999997],[3.93994100000009],[20.530029000000013],[-53.890014000000065],[-32.96008299999994],[53.41992200000004],the case against google,,,,,,,
2018-02-21,1,[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],[20.75],[7.09997599999997],[3.93994100000009],[20.530029000000013],[-53.890014000000065],[-32.96008299999994],,,,,,,,
2018-02-22,0,[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],[20.75],[7.09997599999997],[3.93994100000009],[20.530029000000013],[-53.890014000000065],,,,,,,,
2018-02-23,1,[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],[20.75],[7.09997599999997],[3.93994100000009],[20.530029000000013],,,,,,,,
2018-02-26,1,[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],[20.75],[7.09997599999997],[3.93994100000009],,,,,,,,
2018-02-27,0,[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],[20.75],[7.09997599999997],,,,,,,,
2018-02-28,0,[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],[20.75],,,,,,,,
2018-03-01,0,[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],[10.450073999999859],,,,,,,,
2018-03-02,1,[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],[6.3900149999999485],,,,,,,,
2018-03-05,1,[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],[],"google to sell zagat to the infatuation, an upstart review site",,,,,,,
2018-03-06,0,[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],[11.890014999999948],new foils for the right: google and facebook,google researchers are learning how machines learn,,,,,,
2018-03-07,1,[-4.159912000000077],[15.790038999999979],[25.840087999999923],[-38.349975000000086],[-18.300048999999944],[-22.949951000000056],[15.949951000000056],[14.15002400000003],[-9.559936000000107],[4.869995000000017],,,,,,,,
