Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7
2014-02-11,0,[0.5628659999999854],[4.8866570000001275],[4.398499000000015],[-0.08966099999997823],[0.0846559999999954],[-22.799560000000042],[4.792052999999896],[-4.787048999999911],[-6.077209000000039],[6.3212890000000925],,,,,,,
2014-02-12,0,[4.986327999999958],[0.5628659999999854],[4.8866570000001275],[4.398499000000015],[-0.08966099999997823],[0.0846559999999954],[-22.799560000000042],[4.792052999999896],[-4.787048999999911],[-6.077209000000039],,,,,,,
2014-02-13,0,[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],[4.8866570000001275],[4.398499000000015],[-0.08966099999997823],[0.0846559999999954],[-22.799560000000042],[4.792052999999896],[-4.787048999999911],,,,,,,
2014-02-14,0,[9.539246000000048],[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],[4.8866570000001275],[4.398499000000015],[-0.08966099999997823],[0.0846559999999954],[-22.799560000000042],[4.792052999999896],"dropbox hires a google executive, as it starts its next phase for growth",,,,,,
2014-02-18,0,[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],[4.8866570000001275],[4.398499000000015],[-0.08966099999997823],[0.0846559999999954],,,,,,,
2014-02-19,1,[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],[4.8866570000001275],[4.398499000000015],[-0.08966099999997823],renaissance learning draws $40 million investment from google capital,the loyal users of google plus say it is no ghost town,google offers a guide to not being a ‘creepy’ google glass owner,,,,
2014-02-20,0,[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],[4.8866570000001275],[4.398499000000015],"google fiber, ultrahigh-speed internet, may expand to 34 new cities",,,,,,
2014-02-21,0,[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],[4.8866570000001275],,,,,,,
2014-02-24,0,[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],[4.986327999999958],[0.5628659999999854],"google, riding off into the sunset",,,,,,
2014-02-25,0,[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],[4.986327999999958],"lessons from google, in school and at work",,,,,,
2014-02-26,0,[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],[-1.1506959999999253],,,,,,,
2014-02-27,0,[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],[9.539246000000048],google pays for the ride,google continues with its project ara modular smartphone effort,,,,,
2014-02-28,0,[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],[3.581604000000084],,,,,,,
2014-03-03,0,[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],[],,,,,,,
2014-03-04,0,[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],[4.7173460000000205],,,,,,,
2014-03-05,0,[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],[-1.474425999999994],,,,,,,
2014-03-06,0,[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],[0.483154999999897],,,,,,,
2014-03-07,0,[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],[-2.00244100000009],,,,,,,
2014-03-10,0,[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],[3.561645999999996],,,,,,,
2014-03-11,0,[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],[2.0224000000000615],,,,,,,
2014-03-12,0,[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],[-1.9078980000000456],,,,,,,
2014-03-13,0,[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],[0.40850799999998344],,,,,,,
2014-03-14,0,[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],[-2.33624199999997],,,,,,,
2014-03-17,0,[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],[-2.022399999999948],google’s legal chief joins k.k.r.’s board,,,,,,
2014-03-18,0,[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],[-0.044860999999968953],google unveils software for smartwatches-to-be,,,,,,
2014-03-19,0,[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],[1.5989989999999352],,,,,,,
2014-03-20,0,[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],[-1.330016999999998],,,,,,,
2014-03-21,0,[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],[-5.982605000000149],,,,,,,
2014-03-24,0,[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],[-2.052306999999928],,,,,,,
2014-03-25,1,[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],[-6.864256999999952],biggest eyewear company signs on with google glass,"google’s bigger, cheaper cloud",,,,,
2014-03-26,1,[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],[5.429625999999985],google revamps election portal to encourage indians to vote,,,,,,
2014-03-27,1,[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],[-9.40972899999997],government data requests fall at yahoo but rise at google,,,,,,
2014-03-28,1,[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],[-4.577819999999974],google flu trends: the limits of big data,,,,,,
2014-03-31,1,[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],[6.401001000000065],apple’s war on samsung has google in crossfire,daily report: apple-samsung patent face-off has google in crossfire,,,,,
2014-04-01,1,[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],[8.263977000000068],,,,,,,
2014-04-02,1,[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],[-6.251526000000013],apple and samsung reprise patent fight (with google a shadow presence),the many classes of google stock,,,,,
2014-04-03,1,[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],[-1.389831000000072],,,,,,,
2014-04-04,1,[-0.10967999999991207],[-32.89965799999993],[8.426879999999983],[-9.892883999999981],[-1.2066650000000436],[-9.513855000000035],[-14.96392800000001],[-3.6264039999999795],[-13.080992999999921],[-11.591552999999976],,,,,,,
