Date,Label,1,2,3,4,5,6,7,8,9,10,top1,top2,top3,top4,top5,top6,top7
2014-09-10,0,[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],[-2.0543820000000323],[5.464966000000004],[],[0.269286999999963],[-0.3590080000000171],[-6.252869000000032],google buys lift labs in further biotech push,,,,,,
2014-09-11,0,[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],[-2.0543820000000323],[5.464966000000004],[],[0.269286999999963],[-0.3590080000000171],google acquires online poll company polar,,,,,,
2014-09-12,1,[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],[-2.0543820000000323],[5.464966000000004],[],[0.269286999999963],"google to give start-ups $100,000 in cloud computing credits",,,,,,
2014-09-15,0,[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],[-2.0543820000000323],[5.464966000000004],[],google introduces android one phone for emerging markets,google report shows governments’ increasing demands for users’ data,,,,,
2014-09-16,0,[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],[-2.0543820000000323],[5.464966000000004],google lends a helping hand to madison ave. on digital proficiency,,,,,,
2014-09-17,0,[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],[-2.0543820000000323],,,,,,,
2014-09-18,0,[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],[1.9745489999999108],news corp. and google in a war of words,,,,,,
2014-09-19,0,[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],[2.0942999999999756],,,,,,,
2014-09-22,1,[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],[3.111450999999988],daily report: china’s great firewall toughens for google and others,,,,,,
2014-09-23,1,[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],[-7.868409000000042],,,,,,,
2014-09-24,0,[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],[1.595641999999998],exposing hidden bias at google,,,,,,
2014-09-25,1,[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],[0.9873049999999921],daily report: shedding light on hidden bias at google,,,,,,
2014-09-26,1,[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],[-5.365296000000058],,,,,,,
2014-09-29,1,[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],[0.1596070000000509],,,,,,,
2014-09-30,1,[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],[7.170349999999985],,,,,,,
2014-10-01,1,[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],[4.746947999999861],german regulator warns google over collecting users’ data,,,,,,
2014-10-02,0,[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],[2.2637939999999617],drones vs. kidneys: google autofill on the economy,,,,,,
2014-10-03,0,[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],[4.567444000000023],times articles removed from google results in europe,,,,,,
2014-10-06,0,[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],[-6.432373000000098],,,,,,,
2014-10-07,0,[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],[-5.7043460000001005],,,,,,,
2014-10-08,0,[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],[6.51208500000007],,,,,,,
2014-10-09,1,[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],[-12.455809999999929],google provides details on ‘right to be forgotten’ requests in e.u.,,,,,,
2014-10-10,1,[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],[1.0371089999999867],,,,,,,
2014-10-13,1,[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],[4.597351000000003],am i sick? google has a doctor waiting on video,,,,,,
2014-10-14,1,[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],[0.42877199999998084],google executive chairman: amazon is a lovely place to shop and search,,,,,,
2014-10-15,1,[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],[-7.71881099999996],google profit will depend on wringing more from mobile ads,,,,,,
2014-10-16,0,[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],[2.762389999999982],analysts ask what’s next for google,,,,,,
2014-10-17,1,[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],[2.223877000000016],daily report: analysts wonder about google’s next phase,,,,,,
2014-10-20,0,[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],[-1.4460450000000264],stephen colbert has a mock feud with google over search results,,,,,,
2014-10-21,0,[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],[-10.630860000000098],google invests heavily in magic leap’s effort to blend illusion and reality,,,,,,
2014-10-22,0,[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],[6.91101100000003],google wants inbox to be your email system for the next decade,,,,,,
2014-10-23,0,[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],[-10.27179000000001],,,,,,,
2014-10-24,1,[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],[-13.193785999999932],google executive makes world record jump,,,,,,
2014-10-27,1,[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],[-11.747741999999903],,,,,,,
2014-10-28,1,[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],[-0.957398000000012],,,,,,,
2014-10-29,1,[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],[-0.9772950000000264],google executive sets record for free fall: reporter’s notebook,,,,,,
2014-10-30,0,[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],[5.494934999999941],google’s analysis of japan,,,,,,
2014-10-31,1,[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],[-16.035979999999938],"andy rubin, former head of android, departs google",the new thing in google flu trends is traditional data,,,,,
2014-11-03,1,[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],[11.358794999999986],google search data suggests voter turnout will not surge,,,,,,
2014-11-04,0,[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],[1.3463140000001204],"google glass may have a blind spot, study says",,,,,,
2014-11-05,0,[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],[2.8123170000000073],,,,,,,
2014-11-06,0,[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],[4.647277999999915],,,,,,,
2014-11-07,1,[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],[-4.567504999999983],"‘how google works,’ by eric schmidt and jonathan rosenberg",,,,,,
2014-11-10,1,[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],[3.729737],,,,,,,
2014-11-11,0,[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],[5.8837890000000925],google chromecast adds games,european antitrust regulators to hold discussions with google’s rivals,,,,,
2014-11-12,0,[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],[-0.6681519999999637],,,,,,,
2014-11-13,1,[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],[1.3563239999999723],google to quadruple computer science prize winnings to $1 million,,,,,,
2014-11-14,1,[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],[-0.2692259999998896],,,,,,,
2014-11-17,1,[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],[-0.27923599999996895],,,,,,,
2014-11-18,1,[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],[1.1069330000000264],,,,,,,
2014-11-19,1,[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],[-10.850219999999922],,,,,,,
2014-11-20,0,[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],[-3.4505009999999174],"firefox makes yahoo its new default for search, replacing google",google play store opens to chinese developers,,,,,
2014-11-21,1,[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],[-5.185729999999921],google experimenting with removing ads for a fee,"in europe, a resolution to break up google",,,,,
2014-11-24,1,[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],[6.013488999999936],,,,,,,
2014-11-25,0,[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],[1.7951049999999213],the thanksgiving recipes googled in every state,,,,,,
2014-11-26,1,[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],[-4.407898000000046],[-3.071595000000002],6 q’s about the news | the thanksgiving recipes googled in every state,european legislator urging the breakup of google has ties to a law firm,,,,,
2014-11-28,1,[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],[-2.2738039999999273],,,,,,,
2014-12-01,1,[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],[-7.050658999999996],,,,,,,
2014-12-02,1,[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],[-2.4631950000000415],,,,,,,
2014-12-03,1,[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],[1.9845580000001064],british government proposes a ‘google tax’,,,,,,
2014-12-04,1,[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],[3.5701910000000225],,,,,,,
2014-12-05,1,[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],[-4.098754999999983],,,,,,,
2014-12-08,1,[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],[1.6156009999999696],,,,,,,
2014-12-09,1,[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],[2.0742800000000443],,,,,,,
2014-12-10,1,[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],[-0.5086059999998724],,,,,,,
2014-12-11,0,[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],[],google news to shut down in spain,european antitrust regulators ask for more information in google investigation,,,,,
2014-12-12,0,[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],[1.2067260000000033],,,,,,,
2014-12-15,0,[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],[-5.086059999999975],,,,,,,
2014-12-16,0,[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],[0.23931900000002315],,,,,,,
2014-12-17,0,[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],[-0.11968999999999141],google’s detractors take their fight to the states,letter to google from mississippi’s attorney general,google subpoena from mississippi,former attorney general lynch calling for google investigation,daily report: google’s detractors lobby state attorneys general,,
2014-12-18,0,[7.868407999999988],[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],[6.133178999999927],,,,,,,
2014-12-19,0,[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],[-5.7243049999999585],"sued by google, a state attorney general retreats",statement of attorney general jim hood regarding google lawsuit,,,,,
2014-12-22,0,[4.826720999999964],[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],[-0.14959800000008272],,,,,,,
2014-12-23,0,[8.765930000000026],[4.826720999999964],[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],[11.199280000000044],"america’s christmas gift lists, as seen by google",,,,,,
2014-12-24,1,[3.5801999999999907],[8.765930000000026],[4.826720999999964],[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],[0.5385139999999637],[-7.0007929999999305],daily report: google knows what you’re getting for christmas,google adds some song lyrics to search results,"sony streams ‘the interview’ on youtube, google play and xbox",,,,
2014-12-26,0,[],[-1.735229000000004],[3.5801999999999907],[8.765930000000026],[4.826720999999964],[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],[-8.915526999999997],[-4.836730999999986],"adding the sun, moon and stars to google calendar",,,,,,
2014-12-29,0,[5.245543999999995],[],[-1.735229000000004],[3.5801999999999907],[8.765930000000026],[4.826720999999964],[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],[-8.915526999999997],,,,,,,
2014-12-30,0,[-1.854857999999922],[5.245543999999995],[],[-1.735229000000004],[3.5801999999999907],[8.765930000000026],[4.826720999999964],[-1.8449399999999514],[7.868407999999988],[-16.125733000000025],,,,,,,
2014-12-31,1,[2.3236080000000356],[-1.854857999999922],[5.245543999999995],[],[-1.735229000000004],[3.5801999999999907],[8.765930000000026],[4.826720999999964],[-1.8449399999999514],[7.868407999999988],qwant wants to be alternative to google,,,,,,
2015-01-02,1,[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],[5.245543999999995],[],[-1.735229000000004],[3.5801999999999907],[8.765930000000026],[4.826720999999964],,,,,,,
2015-01-05,1,[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],[5.245543999999995],[],[-1.735229000000004],[3.5801999999999907],[8.765930000000026],,,,,,,
2015-01-06,1,[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],[5.245543999999995],[],[-1.735229000000004],[3.5801999999999907],,,,,,,
2015-01-07,1,[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],[5.245543999999995],[],[-1.735229000000004],,,,,,,
2015-01-08,0,[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],[5.245543999999995],[],new clues on google’s plans for insurance,,,,,,
2015-01-09,0,[4.67715400000003],[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],[5.245543999999995],,,,,,,
2015-01-12,0,[-8.566498000000024],[4.67715400000003],[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],[-1.854857999999922],,,,,,,
2015-01-13,0,[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],[2.3236080000000356],,,,,,,
2015-01-14,0,[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],[-4.836730999999986],google translate app gets an upgrade,updates for google translate (just hold up your phone),two ex-googlers reunite at venture capital firm,,,,
2015-01-15,1,[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],[],"in detroit, google makes a case for driverless cars",,,,,,
2015-01-16,0,[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],[-5.883849999999995],[-13.004333999999972],[-9.364319000000137],[-4.188476000000037],google glass to leave ‘x’ research lab as nest’s tony fadell takes over project,google glass is finally getting a makeover,,,,,
2015-01-20,1,[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],[-5.883849999999995],[-13.004333999999972],e.u. official urges google to offer greater concessions in antitrust inquiry,google and fidelity put $1 billion into spacex,,,,,
2015-01-21,0,[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],[-5.883849999999995],daily report: google makes a big bet on spacex,video feature: conjuring the most from google android,,,,,
2015-01-22,0,[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],[4.67715400000003],google hopes to take the web directly to billions lacking access,"daily report: internet in orbit, linking much of world directly to google",,,,,
2015-01-23,0,[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],[-8.566498000000024],,,,,,,
2015-01-26,0,[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],[-2.3834530000000314],,,,,,,
2015-01-27,1,[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],[-2.65271000000007],wikileaks assails google and the u.s.,,,,,,
2015-01-28,1,[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],[6.202972999999929],what happens if apple drops google from its browser?,,,,,,
2015-01-29,1,[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],[-3.7696529999999484],"google revenue is higher, but profit misses expectations",,,,,,
2015-01-30,0,[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],[8.047882000000016],"you googled it, we answered it",,,,,,
2015-02-02,0,[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],[],,,,,,,
2015-02-03,0,[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],[-4.088775999999939],,,,,,,
2015-02-04,1,[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],[10.760497999999927],why google glass broke,,,,,,
2015-02-05,0,[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],[12.874634000000015],twitter and google said to reach deal on search,,,,,,
2015-02-06,0,[3.779602000000068],[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],[4.348084000000085],6 q’s about the news | why google glass broke,"limit ‘right to be forgotten’ to europe, panel tells google",,,,,
2015-02-09,1,[3.3508299999999736],[3.779602000000068],[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],[-3.310912999999914],a prickly partnership for uber and google,daily report: rivalry brewing between uber and google,,,,,
2015-02-10,1,[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],[-11.308898999999997],,,,,,,
2015-02-11,0,[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],[-12.744995000000074],"google, mighty now, but not forever",,,,,,
2015-02-12,0,[0.6681509999999662],[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],[-0.3390810000000215],"daily report: google is a mighty force now, but that may not last forever",,,,,,
2015-02-13,0,[5.6644889999998895],[0.6681509999999662],[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],[-6.462280999999962],[1.236633999999981],[-3.241088999999988],[18.608948000000055],,,,,,,
2015-02-17,0,[],[5.644531000000029],[5.6644889999998895],[0.6681509999999662],[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],[-6.462280999999962],[1.236633999999981],,,,,,,
2015-02-18,0,[-3.9790649999999914],[],[5.644531000000029],[5.6644889999998895],[0.6681509999999662],[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],[-6.462280999999962],,,,,,,
2015-02-19,0,[-1.6953739999999016],[-3.9790649999999914],[],[5.644531000000029],[5.6644889999998895],[0.6681509999999662],[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],[3.779602000000068],,,,,,,
2015-02-20,0,[4.816773000000012],[-1.6953739999999016],[-3.9790649999999914],[],[5.644531000000029],[5.6644889999998895],[0.6681509999999662],[7.619080000000054],[-0.16949399999998604],[3.3508299999999736],,,,,,,
