Date,Label,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,top16,top17,top18,top19,top20,top21,top22,top23,top24
2020-08-27,0,dell technologies inc. (dell) ceo management on q2 2021 results - earnings call transcript,dell technologies prints an 18% annualised growth in q2 consumer sales,dell technologies (dell) beats q2 earnings and revenue estimates,"dell, hp results top wall street estimates on pandemic pc demand",dell technologies: q2 earnings insights,"surging laptop demand helps hp, dell amid office-spending slump","stocks making the biggest moves after hours: ulta beauty, dell technologies, workday & more","dell technologies sees q2 pc demand surge amid remote work, education move",dell quarterly revenue edges past estimates on remote work boost,future-of-work solutions power dell technologies&quot; second quarter fiscal 2021 financial results,"thinking about trading options or stock in amazon, moderna inc, facebook, netflix, or dell technologies?","pnc financial services group inc. sells 1,367 shares of dell inc. (nyse:dell)",dell (nyse:dell) lowered to sell at zacks investment research,,,,,,,,,,,
2020-08-28,1,dell technologies inc. 2021 q2 - results - earnings call presentation,"remote workers, learners power dell sales","dell, hp earnings drive computer hardware stocks higher",price over earnings overview: dell technologies,dell coo: 60% of employees will wfh or go to a hybrid model,"dell shares jump on q2 earnings, hp exceeds earnings estimates by $1b",dell analysts react to q2 earnings beat: &quot;ride the wave of remote work&quot;,stock alert: dell technologies rises 5% on upbeat earnings,dell: 60% of our people won&quot;t be going back into an office regularly after covid-19,"earnings: big lots, dell beat wall street expectations",dell technologies (dell) q2 earnings &amp; revenues top estimates,how dell managed to pull off a win in q2 despite huge hurdles,dell and vmware (again) mull spin-off but nothing imminent,dell and hp boosted by work-at-home office demand,"top analyst upgrades and downgrades: bill.com, dell, dollar general, draftkings, gap, hp, marvell, okta, ulta, workday and more",what does dell&quot;s debt look like?,"dell gets post-earnings upgrade, analysts focus on vmware",dell (nyse:dell) stock rating lowered by zacks investment research,dell technologies inc. (dell) ceo management on q2 2021 results - earnings call transcript,,,,,
2020-08-31,1,"nwsl news: dell loy hansen reveals nwsl&quot;s strength, goals",dell (dell) in focus: stock moves 6.1% higher,us bancorp de boosts stock position in dell inc. (nyse:dell),us bancorp de increases stake in dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,
2020-09-01,0,california public employees retirement system sells 284 shares of dell inc. (nyse:dell),macquarie group ltd. has $5.99 million stock position in dell inc. (nyse:dell),british columbia investment management corp raises stock holdings in dell inc. (nyse:dell),dell latitude 9510: hands-on with the work laptop ready for right now     - cnet,"amalgamated bank has $384,000 holdings in dell inc. (nyse:dell)",dell inc. (nyse:dell) shares sold by amalgamated bank,morgan stanley decreases stake in dell inc. (nyse:dell),dell inc. (nyse:dell) shares sold by morgan stanley,"dell inc. (nyse:dell) receives consensus recommendation of ""hold"" from brokerages",hedge funds are buying dell technologies inc. (dell),,,,,,,,,,,,,,
2020-09-02,1,dell looks undervalued in a lackluster hardware space,,,,,,,,,,,,,,,,,,,,,,,
2020-09-03,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-09-04,0,"insider selling: dell inc. (nyse:dell) coo sells 73,275 shares of stock",,,,,,,,,,,,,,,,,,,,,,,
2020-09-08,1,dell technologies inc. (dell) management presents at citi's 2020 global technology virtual conference (transcript),dell technologies inc. (dell) management presents at citi&quot;s 2020 global technology virtual conference (transcript),dell technologies to present at the deutsche bank 2020 technology conference,"grab leftover labor day deals on switch games, dell monitors, and more","best rugged tablets in 2020: samsung, panasonic, getac, dell, and lenovo",dell inc. (nyse:dell) shares sold by principal financial group inc.,,,,,,,,,,,,,,,,,,
2020-09-09,1,"dell, hpe tie for top worldwide server vendor in q2 - idc",why dell technologies rose 10.4% in august,dell inc. (nyse:dell) shares acquired by bank of new york mellon corp,,,,,,,,,,,,,,,,,,,,,
2020-09-10,0,"nordea investment management ab has $710,000 stock holdings in dell inc. (nyse:dell)",ensign peak advisors inc sells 218 shares of dell inc. (nyse:dell),,,,,,,,,,,,,,,,,,,,,,
